Combination,Annualized Return,Benchmark Relative,Standard Deviation,Maximum Drawdown
"MSTY:5%, JEPQ:10%, SCHD:15%, SCHY:70%",21.5,4.2,10.5,5.1
"MSTY:5%, JEPQ:10%, SCHD:20%, SCHY:65%",20.9,3.6,10.3,5.2
"MSTY:5%, JEPQ:10%, SCHD:25%, SCHY:60%",20.3,2.9,10.2,5.3
"MSTY:5%, JEPQ:10%, SCHD:30%, SCHY:55%",19.6,2.3,10.1,5.4
"MSTY:5%, JEPQ:10%, SCHD:35%, SCHY:50%",19.0,1.7,10.1,5.6
"MSTY:5%, JEPQ:10%, SCHD:40%, SCHY:45%",18.4,1.0,10.1,5.7
"MSTY:5%, JEPQ:10%, SCHD:45%, SCHY:40%",17.7,0.4,10.2,5.8
"MSTY:5%, JEPQ:10%, SCHD:50%, SCHY:35%",17.1,-0.2,10.3,5.9
"MSTY:5%, JEPQ:10%, SCHD:55%, SCHY:30%",16.5,-0.9,10.5,6.0
"MSTY:5%, JEPQ:10%, SCHD:60%, SCHY:25%",15.8,-1.5,10.7,6.1
"MSTY:5%, JEPQ:10%, SCHD:65%, SCHY:20%",15.2,-2.1,11.0,6.3
"MSTY:5%, JEPQ:10%, SCHD:70%, SCHY:15%",14.6,-2.8,11.4,6.4
"MSTY:5%, JEPQ:10%, SCHD:75%, SCHY:10%",13.9,-3.4,11.7,7.1
"MSTY:5%, JEPQ:10%, SCHD:80%, SCHY:5%",13.3,-4.0,12.1,8.0
"MSTY:5%, JEPQ:10%, SCHD:85%, SCHY:0%",12.7,-4.7,12.5,8.9
"MSTY:5%, JEPQ:15%, SCHD:0%, SCHY:80%",23.0,5.7,10.8,4.4
"MSTY:5%, JEPQ:15%, SCHD:5%, SCHY:75%",22.4,5.0,10.5,4.6
"MSTY:5%, JEPQ:15%, SCHD:10%, SCHY:70%",21.7,4.4,10.2,4.7
"MSTY:5%, JEPQ:15%, SCHD:15%, SCHY:65%",21.1,3.8,10.0,4.8
"MSTY:5%, JEPQ:15%, SCHD:20%, SCHY:60%",20.5,3.1,9.9,5.0
"MSTY:5%, JEPQ:15%, SCHD:25%, SCHY:55%",19.8,2.5,9.8,5.1
"MSTY:5%, JEPQ:15%, SCHD:30%, SCHY:50%",19.2,1.9,9.7,5.2
"MSTY:5%, JEPQ:15%, SCHD:35%, SCHY:45%",18.6,1.2,9.7,5.3
"MSTY:5%, JEPQ:15%, SCHD:40%, SCHY:40%",17.9,0.6,9.8,5.4
"MSTY:5%, JEPQ:15%, SCHD:45%, SCHY:35%",17.3,-0.0,9.9,5.6
"MSTY:5%, JEPQ:15%, SCHD:50%, SCHY:30%",16.7,-0.7,10.1,5.7
"MSTY:5%, JEPQ:15%, SCHD:55%, SCHY:25%",16.0,-1.3,10.4,5.8
"MSTY:5%, JEPQ:15%, SCHD:60%, SCHY:20%",15.4,-1.9,10.7,5.9
"MSTY:5%, JEPQ:15%, SCHD:65%, SCHY:15%",14.8,-2.6,11.0,6.0
"MSTY:5%, JEPQ:15%, SCHD:70%, SCHY:10%",14.1,-3.2,11.3,6.9
"MSTY:5%, JEPQ:15%, SCHD:75%, SCHY:5%",13.5,-3.8,11.8,7.9
"MSTY:5%, JEPQ:15%, SCHD:80%, SCHY:0%",12.9,-4.5,12.2,8.8
"MSTY:5%, JEPQ:20%, SCHD:0%, SCHY:75%",22.6,5.2,10.3,4.2
"MSTY:5%, JEPQ:20%, SCHD:5%, SCHY:70%",21.9,4.6,10.0,4.3
"MSTY:5%, JEPQ:20%, SCHD:10%, SCHY:65%",21.3,4.0,9.8,4.5
"MSTY:5%, JEPQ:20%, SCHD:15%, SCHY:60%",20.7,3.3,9.6,4.6
"MSTY:5%, JEPQ:20%, SCHD:20%, SCHY:55%",20.0,2.7,9.5,4.7
"MSTY:5%, JEPQ:20%, SCHD:25%, SCHY:50%",19.4,2.1,9.4,4.9
"MSTY:5%, JEPQ:20%, SCHD:30%, SCHY:45%",18.8,1.4,9.4,5.0
"MSTY:5%, JEPQ:20%, SCHD:35%, SCHY:40%",18.1,0.8,9.5,5.1
"MSTY:5%, JEPQ:20%, SCHD:40%, SCHY:35%",17.5,0.2,9.6,5.2
"MSTY:5%, JEPQ:20%, SCHD:45%, SCHY:30%",16.9,-0.4,9.8,5.3
"MSTY:5%, JEPQ:20%, SCHD:50%, SCHY:25%",16.2,-1.1,10.0,5.5
"MSTY:5%, JEPQ:20%, SCHD:55%, SCHY:20%",15.6,-1.7,10.3,5.6
"MSTY:5%, JEPQ:20%, SCHD:60%, SCHY:15%",15.0,-2.3,10.7,5.9
"MSTY:5%, JEPQ:20%, SCHD:65%, SCHY:10%",14.3,-3.0,11.0,6.8
"MSTY:5%, JEPQ:20%, SCHD:70%, SCHY:5%",13.7,-3.6,11.4,7.7
"MSTY:5%, JEPQ:20%, SCHD:75%, SCHY:0%",13.1,-4.3,11.9,8.6
"MSTY:5%, JEPQ:25%, SCHD:0%, SCHY:70%",22.1,4.8,9.8,4.0
"MSTY:5%, JEPQ:25%, SCHD:5%, SCHY:65%",21.5,4.2,9.6,4.1
"MSTY:5%, JEPQ:25%, SCHD:10%, SCHY:60%",20.9,3.5,9.4,4.2
"MSTY:5%, JEPQ:25%, SCHD:15%, SCHY:55%",20.2,2.9,9.3,4.4
"MSTY:5%, JEPQ:25%, SCHD:20%, SCHY:50%",19.6,2.3,9.2,4.5
"MSTY:5%, JEPQ:25%, SCHD:25%, SCHY:45%",19.0,1.6,9.2,4.6
"MSTY:5%, JEPQ:25%, SCHD:30%, SCHY:40%",18.3,1.0,9.2,4.8
"MSTY:5%, JEPQ:25%, SCHD:35%, SCHY:35%",17.7,0.4,9.4,4.9
"MSTY:5%, JEPQ:25%, SCHD:40%, SCHY:30%",17.1,-0.2,9.5,5.0
"MSTY:5%, JEPQ:25%, SCHD:45%, SCHY:25%",16.4,-0.9,9.8,5.1
"MSTY:5%, JEPQ:25%, SCHD:50%, SCHY:20%",15.8,-1.5,10.1,5.2
"MSTY:5%, JEPQ:25%, SCHD:55%, SCHY:15%",15.2,-2.1,10.4,5.7
"MSTY:5%, JEPQ:25%, SCHD:60%, SCHY:10%",14.5,-2.8,10.7,6.6
"MSTY:5%, JEPQ:25%, SCHD:65%, SCHY:5%",13.9,-3.4,11.2,7.6
"MSTY:5%, JEPQ:25%, SCHD:70%, SCHY:0%",13.3,-4.1,11.6,8.5
"MSTY:5%, JEPQ:30%, SCHD:0%, SCHY:65%",21.7,4.4,9.5,3.8
"MSTY:5%, JEPQ:30%, SCHD:5%, SCHY:60%",21.1,3.7,9.3,3.9
"MSTY:5%, JEPQ:30%, SCHD:10%, SCHY:55%",20.4,3.1,9.1,4.0
"MSTY:5%, JEPQ:30%, SCHD:15%, SCHY:50%",19.8,2.5,9.0,4.2
"MSTY:5%, JEPQ:30%, SCHD:20%, SCHY:45%",19.2,1.9,9.0,4.3
"MSTY:5%, JEPQ:30%, SCHD:25%, SCHY:40%",18.5,1.2,9.1,4.4
"MSTY:5%, JEPQ:30%, SCHD:30%, SCHY:35%",17.9,0.6,9.2,4.5
"MSTY:5%, JEPQ:30%, SCHD:35%, SCHY:30%",17.3,-0.0,9.3,4.7
"MSTY:5%, JEPQ:30%, SCHD:40%, SCHY:25%",16.7,-0.7,9.6,4.8
"MSTY:5%, JEPQ:30%, SCHD:45%, SCHY:20%",16.0,-1.3,9.8,4.9
"MSTY:5%, JEPQ:30%, SCHD:50%, SCHY:15%",15.4,-1.9,10.2,5.5
"MSTY:5%, JEPQ:30%, SCHD:55%, SCHY:10%",14.8,-2.6,10.5,6.5
"MSTY:5%, JEPQ:30%, SCHD:60%, SCHY:5%",14.1,-3.2,10.9,7.4
"MSTY:5%, JEPQ:30%, SCHD:65%, SCHY:0%",13.5,-3.8,11.4,8.3
"MSTY:5%, JEPQ:35%, SCHD:0%, SCHY:60%",21.3,3.9,9.2,3.5
"MSTY:5%, JEPQ:35%, SCHD:5%, SCHY:55%",20.6,3.3,9.0,3.7
"MSTY:5%, JEPQ:35%, SCHD:10%, SCHY:50%",20.0,2.7,8.9,3.8
"MSTY:5%, JEPQ:35%, SCHD:15%, SCHY:45%",19.4,2.1,8.9,3.9
"MSTY:5%, JEPQ:35%, SCHD:20%, SCHY:40%",18.7,1.4,8.9,4.1
"MSTY:5%, JEPQ:35%, SCHD:25%, SCHY:35%",18.1,0.8,9.0,4.2
"MSTY:5%, JEPQ:35%, SCHD:30%, SCHY:30%",17.5,0.2,9.2,4.3
"MSTY:5%, JEPQ:35%, SCHD:35%, SCHY:25%",16.9,-0.5,9.4,4.4
"MSTY:5%, JEPQ:35%, SCHD:40%, SCHY:20%",16.2,-1.1,9.7,4.6
"MSTY:5%, JEPQ:35%, SCHD:45%, SCHY:15%",15.6,-1.7,10.0,5.4
"MSTY:5%, JEPQ:35%, SCHD:50%, SCHY:10%",15.0,-2.4,10.4,6.3
"MSTY:5%, JEPQ:35%, SCHD:55%, SCHY:5%",14.3,-3.0,10.8,7.3
"MSTY:5%, JEPQ:35%, SCHD:60%, SCHY:0%",13.7,-3.6,11.2,8.2
"MSTY:5%, JEPQ:40%, SCHD:0%, SCHY:55%",20.8,3.5,9.0,3.3
"MSTY:5%, JEPQ:40%, SCHD:5%, SCHY:50%",20.2,2.9,8.9,3.5
"MSTY:5%, JEPQ:40%, SCHD:10%, SCHY:45%",19.6,2.3,8.9,3.6
"MSTY:5%, JEPQ:40%, SCHD:15%, SCHY:40%",19.0,1.6,8.9,3.7
"MSTY:5%, JEPQ:40%, SCHD:20%, SCHY:35%",18.3,1.0,9.0,3.8
"MSTY:5%, JEPQ:40%, SCHD:25%, SCHY:30%",17.7,0.4,9.1,4.0
"MSTY:5%, JEPQ:40%, SCHD:30%, SCHY:25%",17.1,-0.3,9.3,4.2
"MSTY:5%, JEPQ:40%, SCHD:35%, SCHY:20%",16.4,-0.9,9.6,4.6
"MSTY:5%, JEPQ:40%, SCHD:40%, SCHY:15%",15.8,-1.5,9.9,5.2
"MSTY:5%, JEPQ:40%, SCHD:45%, SCHY:10%",15.2,-2.2,10.2,6.2
"MSTY:5%, JEPQ:40%, SCHD:50%, SCHY:5%",14.5,-2.8,10.6,7.1
"MSTY:5%, JEPQ:40%, SCHD:55%, SCHY:0%",13.9,-3.4,11.1,8.0
"MSTY:5%, JEPQ:45%, SCHD:0%, SCHY:50%",20.4,3.1,9.0,3.1
"MSTY:5%, JEPQ:45%, SCHD:5%, SCHY:45%",19.8,2.5,8.9,3.2
"MSTY:5%, JEPQ:45%, SCHD:10%, SCHY:40%",19.2,1.8,8.9,3.4
"MSTY:5%, JEPQ:45%, SCHD:15%, SCHY:35%",18.5,1.2,9.0,3.5
"MSTY:5%, JEPQ:45%, SCHD:20%, SCHY:30%",17.9,0.6,9.1,3.9
"MSTY:5%, JEPQ:45%, SCHD:25%, SCHY:25%",17.3,-0.1,9.3,4.4
"MSTY:5%, JEPQ:45%, SCHD:30%, SCHY:20%",16.6,-0.7,9.6,4.8
"MSTY:5%, JEPQ:45%, SCHD:35%, SCHY:15%",16.0,-1.3,9.8,5.2
"MSTY:5%, JEPQ:45%, SCHD:40%, SCHY:10%",15.4,-2.0,10.2,6.0
"MSTY:5%, JEPQ:45%, SCHD:45%, SCHY:5%",14.7,-2.6,10.6,7.0
"MSTY:5%, JEPQ:45%, SCHD:50%, SCHY:0%",14.1,-3.2,11.0,7.9
"MSTY:5%, JEPQ:50%, SCHD:0%, SCHY:45%",20.0,2.7,9.0,3.0
"MSTY:5%, JEPQ:50%, SCHD:5%, SCHY:40%",19.4,2.0,9.0,3.3
"MSTY:5%, JEPQ:50%, SCHD:10%, SCHY:35%",18.7,1.4,9.1,3.7
"MSTY:5%, JEPQ:50%, SCHD:15%, SCHY:30%",18.1,0.8,9.2,4.1
"MSTY:5%, JEPQ:50%, SCHD:20%, SCHY:25%",17.5,0.1,9.4,4.5
"MSTY:5%, JEPQ:50%, SCHD:25%, SCHY:20%",16.8,-0.5,9.6,4.9
"MSTY:5%, JEPQ:50%, SCHD:30%, SCHY:15%",16.2,-1.1,9.9,5.3
"MSTY:5%, JEPQ:50%, SCHD:35%, SCHY:10%",15.6,-1.8,10.2,5.9
"MSTY:5%, JEPQ:50%, SCHD:40%, SCHY:5%",14.9,-2.4,10.6,6.8
"MSTY:5%, JEPQ:50%, SCHD:45%, SCHY:0%",14.3,-3.0,11.0,7.7
"MSTY:5%, JEPQ:55%, SCHD:0%, SCHY:40%",19.6,2.2,9.2,3.7
"MSTY:5%, JEPQ:55%, SCHD:5%, SCHY:35%",18.9,1.6,9.2,4.0
"MSTY:5%, JEPQ:55%, SCHD:10%, SCHY:30%",18.3,1.0,9.3,4.3
"MSTY:5%, JEPQ:55%, SCHD:15%, SCHY:25%",17.7,0.3,9.5,4.7
"MSTY:5%, JEPQ:55%, SCHD:20%, SCHY:20%",17.0,-0.3,9.7,5.1
"MSTY:5%, JEPQ:55%, SCHD:25%, SCHY:15%",16.4,-0.9,9.9,5.5
"MSTY:5%, JEPQ:55%, SCHD:30%, SCHY:10%",15.8,-1.6,10.3,5.9
"MSTY:5%, JEPQ:55%, SCHD:35%, SCHY:5%",15.1,-2.2,10.6,6.7
"MSTY:5%, JEPQ:55%, SCHD:40%, SCHY:0%",14.5,-2.8,11.0,7.6
"MSTY:5%, JEPQ:60%, SCHD:0%, SCHY:35%",19.1,1.8,9.4,4.5
"MSTY:5%, JEPQ:60%, SCHD:5%, SCHY:30%",18.5,1.2,9.5,4.7
"MSTY:5%, JEPQ:60%, SCHD:10%, SCHY:25%",17.9,0.5,9.6,4.9
"MSTY:5%, JEPQ:60%, SCHD:15%, SCHY:20%",17.2,-0.1,9.8,5.3
"MSTY:5%, JEPQ:60%, SCHD:20%, SCHY:15%",16.6,-0.7,10.1,5.7
"MSTY:5%, JEPQ:60%, SCHD:25%, SCHY:10%",16.0,-1.4,10.4,6.1
"MSTY:5%, JEPQ:60%, SCHD:30%, SCHY:5%",15.3,-2.0,10.7,6.5
"MSTY:5%, JEPQ:60%, SCHD:35%, SCHY:0%",14.7,-2.6,11.1,7.4
"MSTY:5%, JEPQ:65%, SCHD:0%, SCHY:30%",18.7,1.4,9.8,5.2
"MSTY:5%, JEPQ:65%, SCHD:5%, SCHY:25%",18.1,0.7,9.9,5.4
"MSTY:5%, JEPQ:65%, SCHD:10%, SCHY:20%",17.4,0.1,10.0,5.7
"MSTY:5%, JEPQ:65%, SCHD:15%, SCHY:15%",16.8,-0.5,10.3,5.9
"MSTY:5%, JEPQ:65%, SCHD:20%, SCHY:10%",16.2,-1.2,10.6,6.2
"MSTY:5%, JEPQ:65%, SCHD:25%, SCHY:5%",15.5,-1.8,10.9,6.6
"MSTY:5%, JEPQ:65%, SCHD:30%, SCHY:0%",14.9,-2.4,11.2,7.3
"MSTY:5%, JEPQ:70%, SCHD:0%, SCHY:25%",18.3,0.9,10.2,5.9
"MSTY:5%, JEPQ:70%, SCHD:5%, SCHY:20%",17.6,0.3,10.3,6.2
"MSTY:5%, JEPQ:70%, SCHD:10%, SCHY:15%",17.0,-0.3,10.5,6.4
"MSTY:5%, JEPQ:70%, SCHD:15%, SCHY:10%",16.4,-1.0,10.8,6.6
"MSTY:5%, JEPQ:70%, SCHD:20%, SCHY:5%",15.7,-1.6,11.1,6.8
"MSTY:5%, JEPQ:70%, SCHD:25%, SCHY:0%",15.1,-2.2,11.4,7.2
"MSTY:5%, JEPQ:75%, SCHD:0%, SCHY:20%",17.8,0.5,10.6,6.7
"MSTY:5%, JEPQ:75%, SCHD:5%, SCHY:15%",17.2,-0.1,10.8,6.9
"MSTY:5%, JEPQ:75%, SCHD:10%, SCHY:10%",16.6,-0.8,11.1,7.1
"MSTY:5%, JEPQ:75%, SCHD:15%, SCHY:5%",15.9,-1.4,11.3,7.3
"MSTY:5%, JEPQ:75%, SCHD:20%, SCHY:0%",15.3,-2.0,11.7,7.6
"MSTY:5%, JEPQ:80%, SCHD:0%, SCHY:15%",17.4,0.1,11.2,7.4
"MSTY:5%, JEPQ:80%, SCHD:5%, SCHY:10%",16.8,-0.6,11.4,7.6
"MSTY:5%, JEPQ:80%, SCHD:10%, SCHY:5%",16.1,-1.2,11.6,7.8
"MSTY:5%, JEPQ:80%, SCHD:15%, SCHY:0%",15.5,-1.8,12.0,8.0
"MSTY:5%, JEPQ:85%, SCHD:0%, SCHY:10%",17.0,-0.4,11.7,8.1
"MSTY:5%, JEPQ:85%, SCHD:5%, SCHY:5%",16.3,-1.0,12.0,8.3
"MSTY:5%, JEPQ:85%, SCHD:10%, SCHY:0%",15.7,-1.6,12.3,8.5
"MSTY:5%, JEPQ:90%, SCHD:0%, SCHY:5%",16.5,-0.8,12.4,8.8
"MSTY:5%, JEPQ:90%, SCHD:5%, SCHY:0%",15.9,-1.4,12.6,9.0
"MSTY:5%, JEPQ:95%, SCHD:0%, SCHY:0%",16.1,-1.2,13.0,9.5
"MSTY:10%, JEPQ:0%, SCHD:0%, SCHY:90%",30.4,13.1,14.5,6.1
"MSTY:10%, JEPQ:0%, SCHD:5%, SCHY:85%",29.8,12.4,14.2,6.2
"MSTY:10%, JEPQ:0%, SCHD:10%, SCHY:80%",29.1,11.8,13.9,6.4
"MSTY:10%, JEPQ:0%, SCHD:15%, SCHY:75%",28.5,11.2,13.7,6.5
"MSTY:10%, JEPQ:0%, SCHD:20%, SCHY:70%",27.9,10.6,13.5,6.6
"MSTY:10%, JEPQ:0%, SCHD:25%, SCHY:65%",27.3,9.9,13.3,6.7
"MSTY:10%, JEPQ:0%, SCHD:30%, SCHY:60%",26.6,9.3,13.2,6.8
"MSTY:10%, JEPQ:0%, SCHD:35%, SCHY:55%",26.0,8.7,13.2,6.9
"MSTY:10%, JEPQ:0%, SCHD:40%, SCHY:50%",25.4,8.0,13.1,7.0
"MSTY:10%, JEPQ:0%, SCHD:45%, SCHY:45%",24.7,7.4,13.1,7.1
"MSTY:10%, JEPQ:0%, SCHD:50%, SCHY:40%",24.1,6.8,13.2,7.2
"MSTY:10%, JEPQ:0%, SCHD:55%, SCHY:35%",23.5,6.2,13.3,7.4
"MSTY:10%, JEPQ:0%, SCHD:60%, SCHY:30%",22.9,5.5,13.4,7.5
"MSTY:10%, JEPQ:0%, SCHD:65%, SCHY:25%",22.2,4.9,13.6,7.6
"MSTY:10%, JEPQ:0%, SCHD:70%, SCHY:20%",21.6,4.3,13.8,7.7
"MSTY:10%, JEPQ:0%, SCHD:75%, SCHY:15%",21.0,3.6,14.0,7.8
"MSTY:10%, JEPQ:0%, SCHD:80%, SCHY:10%",20.3,3.0,14.3,7.9
"MSTY:10%, JEPQ:0%, SCHD:85%, SCHY:5%",19.7,2.4,14.6,8.0
"MSTY:10%, JEPQ:0%, SCHD:90%, SCHY:0%",19.1,1.7,14.9,8.1
"MSTY:10%, JEPQ:5%, SCHD:0%, SCHY:85%",30.0,12.6,14.0,5.9
"MSTY:10%, JEPQ:5%, SCHD:5%, SCHY:80%",29.3,12.0,13.7,6.0
"MSTY:10%, JEPQ:5%, SCHD:10%, SCHY:75%",28.7,11.4,13.5,6.1
"MSTY:10%, JEPQ:5%, SCHD:15%, SCHY:70%",28.1,10.8,13.3,6.2
"MSTY:10%, JEPQ:5%, SCHD:20%, SCHY:65%",27.5,10.1,13.1,6.4
"MSTY:10%, JEPQ:5%, SCHD:25%, SCHY:60%",26.8,9.5,13.0,6.5
"MSTY:10%, JEPQ:5%, SCHD:30%, SCHY:55%",26.2,8.9,12.9,6.6
"MSTY:10%, JEPQ:5%, SCHD:35%, SCHY:50%",25.6,8.2,12.9,6.7
"MSTY:10%, JEPQ:5%, SCHD:40%, SCHY:45%",24.9,7.6,12.9,6.8
"MSTY:10%, JEPQ:5%, SCHD:45%, SCHY:40%",24.3,7.0,12.9,6.9
"MSTY:10%, JEPQ:5%, SCHD:50%, SCHY:35%",23.7,6.4,13.0,7.0
"MSTY:10%, JEPQ:5%, SCHD:55%, SCHY:30%",23.1,5.7,13.1,7.1
"MSTY:10%, JEPQ:5%, SCHD:60%, SCHY:25%",22.4,5.1,13.3,7.2
"MSTY:10%, JEPQ:5%, SCHD:65%, SCHY:20%",21.8,4.5,13.5,7.3
"MSTY:10%, JEPQ:5%, SCHD:70%, SCHY:15%",21.2,3.8,13.7,7.4
"MSTY:10%, JEPQ:5%, SCHD:75%, SCHY:10%",20.5,3.2,14.0,7.6
"MSTY:10%, JEPQ:5%, SCHD:80%, SCHY:5%",19.9,2.6,14.3,7.7
"MSTY:10%, JEPQ:5%, SCHD:85%, SCHY:0%",19.3,1.9,14.6,7.8
"MSTY:10%, JEPQ:10%, SCHD:0%, SCHY:80%",29.5,12.2,13.5,5.7
"MSTY:10%, JEPQ:10%, SCHD:5%, SCHY:75%",28.9,11.6,13.3,5.8
"MSTY:10%, JEPQ:10%, SCHD:10%, SCHY:70%",28.3,11.0,13.1,5.9
"MSTY:10%, JEPQ:10%, SCHD:15%, SCHY:65%",27.7,10.3,12.9,6.0
"MSTY:10%, JEPQ:10%, SCHD:20%, SCHY:60%",27.0,9.7,12.8,6.1
"MSTY:10%, JEPQ:10%, SCHD:25%, SCHY:55%",26.4,9.1,12.7,6.3
"MSTY:10%, JEPQ:10%, SCHD:30%, SCHY:50%",25.8,8.4,12.6,6.4
"MSTY:10%, JEPQ:10%, SCHD:35%, SCHY:45%",25.1,7.8,12.6,6.5
"MSTY:10%, JEPQ:10%, SCHD:40%, SCHY:40%",24.5,7.2,12.6,6.6
"MSTY:10%, JEPQ:10%, SCHD:45%, SCHY:35%",23.9,6.6,12.7,6.7
"MSTY:10%, JEPQ:10%, SCHD:50%, SCHY:30%",23.3,5.9,12.8,6.8
"MSTY:10%, JEPQ:10%, SCHD:55%, SCHY:25%",22.6,5.3,13.0,6.9
"MSTY:10%, JEPQ:10%, SCHD:60%, SCHY:20%",22.0,4.7,13.2,7.0
"MSTY:10%, JEPQ:10%, SCHD:65%, SCHY:15%",21.4,4.0,13.4,7.1
"MSTY:10%, JEPQ:10%, SCHD:70%, SCHY:10%",20.7,3.4,13.7,7.2
"MSTY:10%, JEPQ:10%, SCHD:75%, SCHY:5%",20.1,2.8,14.0,7.3
"MSTY:10%, JEPQ:10%, SCHD:80%, SCHY:0%",19.5,2.1,14.3,7.4
"MSTY:10%, JEPQ:15%, SCHD:0%, SCHY:75%",29.1,11.8,13.1,5.5
"MSTY:10%, JEPQ:15%, SCHD:5%, SCHY:70%",28.5,11.2,12.9,5.6
"MSTY:10%, JEPQ:15%, SCHD:10%, SCHY:65%",27.9,10.5,12.7,5.7
"MSTY:10%, JEPQ:15%, SCHD:15%, SCHY:60%",27.2,9.9,12.6,5.8
"MSTY:10%, JEPQ:15%, SCHD:20%, SCHY:55%",26.6,9.3,12.5,5.9
"MSTY:10%, JEPQ:15%, SCHD:25%, SCHY:50%",26.0,8.6,12.4,6.0
"MSTY:10%, JEPQ:15%, SCHD:30%, SCHY:45%",25.3,8.0,12.4,6.1
"MSTY:10%, JEPQ:15%, SCHD:35%, SCHY:40%",24.7,7.4,12.4,6.3
"MSTY:10%, JEPQ:15%, SCHD:40%, SCHY:35%",24.1,6.8,12.5,6.4
"MSTY:10%, JEPQ:15%, SCHD:45%, SCHY:30%",23.5,6.1,12.6,6.5
"MSTY:10%, JEPQ:15%, SCHD:50%, SCHY:25%",22.8,5.5,12.8,6.6
"MSTY:10%, JEPQ:15%, SCHD:55%, SCHY:20%",22.2,4.9,13.0,6.7
"MSTY:10%, JEPQ:15%, SCHD:60%, SCHY:15%",21.6,4.2,13.2,6.8
"MSTY:10%, JEPQ:15%, SCHD:65%, SCHY:10%",20.9,3.6,13.5,6.9
"MSTY:10%, JEPQ:15%, SCHD:70%, SCHY:5%",20.3,3.0,13.8,7.0
"MSTY:10%, JEPQ:15%, SCHD:75%, SCHY:0%",19.7,2.3,14.1,7.2
"MSTY:10%, JEPQ:20%, SCHD:0%, SCHY:70%",28.7,11.4,12.8,5.2
"MSTY:10%, JEPQ:20%, SCHD:5%, SCHY:65%",28.1,10.7,12.6,5.4
"MSTY:10%, JEPQ:20%, SCHD:10%, SCHY:60%",27.4,10.1,12.5,5.5
"MSTY:10%, JEPQ:20%, SCHD:15%, SCHY:55%",26.8,9.5,12.3,5.6
"MSTY:10%, JEPQ:20%, SCHD:20%, SCHY:50%",26.2,8.8,12.3,5.7
"MSTY:10%, JEPQ:20%, SCHD:25%, SCHY:45%",25.5,8.2,12.3,5.8
"MSTY:10%, JEPQ:20%, SCHD:30%, SCHY:40%",24.9,7.6,12.3,5.9
"MSTY:10%, JEPQ:20%, SCHD:35%, SCHY:35%",24.3,7.0,12.3,6.0
"MSTY:10%, JEPQ:20%, SCHD:40%, SCHY:30%",23.7,6.3,12.4,6.2
"MSTY:10%, JEPQ:20%, SCHD:45%, SCHY:25%",23.0,5.7,12.6,6.3
"MSTY:10%, JEPQ:20%, SCHD:50%, SCHY:20%",22.4,5.1,12.8,6.4
"MSTY:10%, JEPQ:20%, SCHD:55%, SCHY:15%",21.8,4.4,13.0,6.5
"MSTY:10%, JEPQ:20%, SCHD:60%, SCHY:10%",21.1,3.8,13.3,6.6
"MSTY:10%, JEPQ:20%, SCHD:65%, SCHY:5%",20.5,3.2,13.6,6.7
"MSTY:10%, JEPQ:20%, SCHD:70%, SCHY:0%",19.9,2.5,13.9,7.1
"MSTY:10%, JEPQ:25%, SCHD:0%, SCHY:65%",28.3,10.9,12.5,5.0
"MSTY:10%, JEPQ:25%, SCHD:5%, SCHY:60%",27.6,10.3,12.4,5.1
"MSTY:10%, JEPQ:25%, SCHD:10%, SCHY:55%",27.0,9.7,12.3,5.3
"MSTY:10%, JEPQ:25%, SCHD:15%, SCHY:50%",26.4,9.0,12.2,5.4
"MSTY:10%, JEPQ:25%, SCHD:20%, SCHY:45%",25.7,8.4,12.2,5.5
"MSTY:10%, JEPQ:25%, SCHD:25%, SCHY:40%",25.1,7.8,12.2,5.6
"MSTY:10%, JEPQ:25%, SCHD:30%, SCHY:35%",24.5,7.2,12.2,5.7
"MSTY:10%, JEPQ:25%, SCHD:35%, SCHY:30%",23.9,6.5,12.3,5.8
"MSTY:10%, JEPQ:25%, SCHD:40%, SCHY:25%",23.2,5.9,12.5,5.9
"MSTY:10%, JEPQ:25%, SCHD:45%, SCHY:20%",22.6,5.3,12.6,6.1
"MSTY:10%, JEPQ:25%, SCHD:50%, SCHY:15%",22.0,4.6,12.9,6.2
"MSTY:10%, JEPQ:25%, SCHD:55%, SCHY:10%",21.3,4.0,13.1,6.3
"MSTY:10%, JEPQ:25%, SCHD:60%, SCHY:5%",20.7,3.4,13.4,6.5
"MSTY:10%, JEPQ:25%, SCHD:65%, SCHY:0%",20.1,2.7,13.7,7.0
"MSTY:10%, JEPQ:30%, SCHD:0%, SCHY:60%",27.8,10.5,12.4,4.8
"MSTY:10%, JEPQ:30%, SCHD:5%, SCHY:55%",27.2,9.9,12.2,4.9
"MSTY:10%, JEPQ:30%, SCHD:10%, SCHY:50%",26.6,9.2,12.1,5.0
"MSTY:10%, JEPQ:30%, SCHD:15%, SCHY:45%",25.9,8.6,12.1,5.2
"MSTY:10%, JEPQ:30%, SCHD:20%, SCHY:40%",25.3,8.0,12.1,5.3
"MSTY:10%, JEPQ:30%, SCHD:25%, SCHY:35%",24.7,7.4,12.2,5.4
"MSTY:10%, JEPQ:30%, SCHD:30%, SCHY:30%",24.1,6.7,12.2,5.5
"MSTY:10%, JEPQ:30%, SCHD:35%, SCHY:25%",23.4,6.1,12.4,5.6
"MSTY:10%, JEPQ:30%, SCHD:40%, SCHY:20%",22.8,5.5,12.5,5.7
"MSTY:10%, JEPQ:30%, SCHD:45%, SCHY:15%",22.2,4.8,12.8,5.9
